# MAE takes the multiplication factor of 2 for avg(|(Target)-(Reconstrcted)|)
Airfoil_name,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,MAE
AH 81-K-144 W-F KLAPPE,1,0,0,0,0,0,0,0,0,0,0,0,0
AH 93-W-480B,0,1,0,0,0,0,0,0,0,0,0,0,0
CHEN AIRFOIL,0,0,1,0,0,0,0,0,0,0,0,0,0
E195  (11.82%),0,0,0,1,0,0,0,0,0,0,0,0,0
EPPLER 664 (EXTENDED) AIRFOIL,0,0,0,0,1,0,0,0,0,0,0,0,0
EPPLER 864 STRUT AIRFOIL,0,0,0,0,0,1,0,0,0,0,0,0,0
FX 79-W-660A,0,0,0,0,0,0,1,0,0,0,0,0,0
GOE 531 AIRFOIL,0,0,0,0,0,0,0,1,0,0,0,0,0
Griffith 30% Suction Airfoil,0,0,0,0,0,0,0,0,1,0,0,0,0
RONCZ R1145MS MAIN ELEMENT,0,0,0,0,0,0,0,0,0,1,0,0,0
S9104,0,0,0,0,0,0,0,0,0,0,1,0,0
SARATOV AIRFOIL,0,0,0,0,0,0,0,0,0,0,0,1,0
E197  (13.49%),-0.022439,0.00005,-0.026545,0.999819,-0.000136,0.074984,-0.004944,-0.0047,0.001621,-0.0035,-0.007766,-0.006444,0.000209864
E201  (11.88%),-0.000914,0.000938,-0.037878,1.027687,0.001371,0.005848,0.000256,-0.020262,-0.006348,0.007209,0.027252,-0.005157,0.000391318
E193  (10.22%),0.014448,0.002033,0.029888,0.99316,0.002502,-0.063526,0.000998,0.004387,-0.006537,0.007929,0.006768,0.00795,0.00040211
E205  (10.48%),0.038873,0.00503,0.091045,0.965553,0.001492,-0.049705,-0.000008,-0.038218,-0.020783,0.005484,-0.031522,0.032759,0.00042136
EPPLER 863 STRUT AIRFOIL,0.053035,0.006174,-0.010942,0.120163,-0.011726,0.910787,-0.015447,-0.023607,-0.017053,-0.013704,0.001759,0.00056,0.000449074
E176  (8.83%),0.022948,0.002559,0.046761,1.052844,-0.000469,-0.086323,-0.012968,-0.011126,-0.009515,-0.001489,-0.018144,0.014921,0.00046757
EPPLER 393 AIRFOIL,-0.030501,0.003458,-0.065843,1.019666,0.011831,-0.009981,-0.0044,-0.03646,0.024521,-0.009977,0.132211,-0.034525,0.000498742
DAVIS BASIC B-24 WING AIRFOIL,0.036114,-0.00091,0.185255,0.645039,0.000685,0.172287,-0.012382,-0.052495,0.007698,0.004868,-0.047959,0.0618,0.000506046
E387,0.012297,0.000447,0.055893,1.020936,-0.010804,-0.073926,-0.013689,0.014302,-0.006007,-0.002572,0.001903,0.001221,0.000538432
TsAGI 12% AIRFOIL,0.083625,-0.00137,0.137554,0.912602,0.005295,-0.102766,0.030543,-0.030643,0.030026,0.035694,-0.118389,0.017831,0.000540566
EH 2.5/10,0.065977,0.013131,0.2722,0.857015,0.002532,-0.08277,-0.011208,-0.124995,0.019392,0.018072,-0.071378,0.042033,0.00056313
E207  (12.04%),0.01525,0.000016,0.037334,0.995293,0.000524,0.023445,0.000412,-0.058275,-0.027281,0.011317,-0.008435,0.0104,0.000615782
MH 61  10.26%,0.095226,0.020356,0.021696,1.108954,-0.001627,-0.037169,-0.033962,-0.030842,-0.011288,-0.008286,-0.124089,0.001031,0.000657886
NACA M14 AIRFOIL,0.014612,0.004933,0.196586,0.918864,-0.004329,-0.196358,0.022088,-0.003958,0.005426,0.035796,-0.016358,0.022698,0.00068749
MH 20  9.01%,0.092755,0.000725,0.065736,1.088449,-0.000125,-0.126454,-0.00115,-0.025568,-0.001816,0.003175,-0.104408,0.00868,0.000703606
EH 2.0/7.0,0.074896,0.054148,0.1862,1.075148,0.009228,-0.191134,-0.04029,-0.16889,0.006232,0.033012,-0.062319,0.02377,0.000705734
